timestamp,egress,kind,kernel_kind,load,attempt,concurrency,vm_index,launch_ms,exit
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,8,1516,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,9,1516,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,10,1516,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,11,1516,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,12,1515,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,13,1516,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,14,1515,0
2026-05-13T18:18:51+00:00,none,minimal,stripped,idle,3,16,15,1515,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,0,1516,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,1,1515,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,2,1515,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,3,1516,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,4,1515,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,5,1515,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,6,1515,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,7,1514,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,8,1516,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,9,1515,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,10,1515,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,11,1516,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,12,1515,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,13,1515,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,14,1515,0
2026-05-13T18:18:53+00:00,none,minimal,stripped,idle,4,16,15,1515,0
2026-05-13T18:18:55+00:00,none,minimal,stripped,idle,5,16,0,1515,0
2026-05-13T18:18:55+00:00,none,minimal,stripped,idle,5,16,1,1516,0
2026-05-13T18:18:55+00:00,none,minimal,stripped,idle,5,16,2,1517,0
